NOMBRE,POBLACION
Abengibre,761
Alatoz,506
Albacete,174336
Albatana,679
Alborea,664
Alcadozo,647
Alcala del Jucar,1194
Alcaraz,1324
Almansa,24511
Alpera,2261
Ayna,591
Balazote,2327
"Ballestero, El",396
Balsa de Ves,131
Barrax,1799
Bienservida,579
Bogarra,807
Bonete,1029
"Bonillo, El",2723
Carcelen,495
Casas de Juan Nuñez,1326
Casas de Lazaro,348
Casas de Ves,563
Casas-Ibañez,4544
Caudete,10005
Cenizate,1194
Chinchilla de Monte-Aragon,4205
Corral-Rubio,311
Cotillas,118
Elche de la Sierra,3520
Ferez,629
Fuensanta,291
Fuente-alamo,2474
Fuentealbilla,1831
"Gineta, La",2548
Golosalvo,98
Hellin,30200
"Herrera, La",322
Higueruela,1135
Hoya-Gonzalo,630
Jorquera,342
Letur,892
Lezuza,1332
Lietor,1150
Madrigueras,4634
Mahora,1362
Masegoso,104
Minaya,1475
Molinicos,813
Montalvos,88
Montealegre del Castillo,2041
Motilleja,578
Munera,3429
Navas de Jorquera,521
Nerpio,1178
Ontur,1976
Ossa de Montiel,2262
Paterna del Madera,329
Peñas de San Pedro,1394
Peñascosa,333
Petrola,681
Povedilla,405
Pozo Cañada,2791
Pozohondo,1593
Pozo-Lorente,408
Pozuelo,469
"Recueja, La",231
Riopar,1341
Robledo,376
"Roda, La",15527
Salobre,470
San Pedro,1171
Socovos,1778
Tarazona de la Mancha,6187
Tobarra,7709
Valdeganga,1990
Vianos,329
Villa de Ves,61
Villalgordo del Jucar,1102
Villamalea,4070
Villapalacios,583
Villarrobledo,25116
Villatoya,109
Villavaliente,220
Villaverde de Guadalimar,325
Viveros,329
Yeste,2614
Agost,4794
Agres,564
Aigües,986
Albatera,12474
Alcalali,1302
Alcocer de Planes,226
Alcoleja,177
Alcoy/Alcoi,59354
Alfafara,406
"Alfàs del Pi, l'",20042
Algorfa,3125
Algueña,1326
Alicante/Alacant,337482
Almoradi,21208
Almudaina,109
"Alqueria d'Asnar, l'",493
Altea,22558
Aspe,20804
"Atzubia, l'",611
Balones,128
Banyeres de Mariola,7090
Benasau,156
Beneixama,1690
Benejuzar,5435
Benferri,1965
Beniarbeig,2159
Beniarda,200
Beniarres,1099
Benidoleig,1078
Benidorm,70450
Benifallim,104
Benifato,136
Benigembla,443
Benijofar,3293
Benilloba,726
Benillup,100
Benimantell,497
Benimarfull,396
Benimassot,103
Benimeli,429
Benissa,11288
"Benitachell/Poble Nou de Benitatxell, el",4452
Biar,3655
Bigastro,6909
Bolulla,417
Busot,3075
Callosa de Segura,19127
Callosa d'en Sarrià,7522
Calp,23326
"Campello, el",28930
"Campo de Mirra/Camp de Mirra, el",417
Cañada,1208
Castalla,10461
Castell de Castells,437
"Castell de Guadalest, el",224
Catral,8898
Cocentaina,11520
Confrides,261
Cox,7386
Crevillent,29536
Daya Nueva,1733
Daya Vieja,731
Denia,42827
Dolores,7531
Elche/Elx,234765
Elda,52813
Facheca,107
Famorca,45
Finestrat,7103
"Fondo de les Neus, el/Hondon de las Nieves",2606
Formentera del Segura,4268
Gaianes,479
Gata de Gorgos,6243
Gorga,241
Granja de Rocamora,2591
Guardamar del Segura,15849
Hondon de los Frailes,1242
Ibi,23564
Jacarilla,1998
Javea/Xàbia,28016
Jijona/Xixona,6879
Lliber,830
"Lorcha/Orxa, l'",582
Millena,240
Monforte del Cid,8346
Monovar/Monòver,12212
"Montesinos, Los",5061
Murla,507
Muro de Alcoy,9315
Mutxamel,25645
Novelda,25741
"Nucia, la",18163
Ondara,7076
Onil,7600
Orba,2232
Orihuela,78505
Orxeta,784
Parcent,967
Pedreguer,7881
Pego,10133
Penàguila,269
Petrer,34241
Pilar de la Horadada,22347
"Pinos, el/Pinoso",8025
Planes,682
"Poblets, els",2714
Polop,5064
Quatretondeta,118
Rafal,4553
"Ràfol d'Almunia, el",648
Redovan,7926
Relleu,1148
Rojales,16671
"Romana, la",2492
Sagra,426
Salinas,1620
San Fulgencio,8071
San Isidro,2103
San Miguel de Salinas,6313
San Vicente del Raspeig/Sant Vicent del Raspeig,58978
Sanet y Negrals,690
Sant Joan d'Alacant,24367
Santa Pola,33303
Sax,9859
Sella,577
Senija,583
Tàrbena,623
Teulada,11278
Tibi,1662
Tollos,35
Tormos,318
"Torremanzanas/Torre de les Maçanes, la",636
Torrevieja,84667
"Vall d'Alcalà, la",160
Vall de Gallinera,527
"Vall de Laguar, la",827
"Vall d'Ebo, la",218
"Verger, el",4709
"Villajoyosa/Vila Joiosa, la",35199
Villena,34155
Xalo,2868
Abla,1248
Abrucena,1183
Adra,25412
Albanchez,687
Alboloduy,609
Albox,12083
Alcolea,844
Alcontar,514
Alcudia de Monteagud,138
Alhabia,677
Alhama de Almeria,3691
Alicun,201
Almeria,201322
Almocita,176
Alsodux,125
Antas,3315
Arboleas,4624
Armuña de Almanzora,300
Bacares,250
Balanegra,3105
Bayarcal,312
Bayarque,216
Bedar,984
Beires,120
Benahadux,4481
Benitagla,58
Benizalon,262
Bentarique,240
Berja,12563
Canjayar,1189
Cantoria,3365
Carboneras,8105
Castro de Filabres,120
Chercos,298
Chirivel,1489
Cobdar,178
Cuevas del Almanzora,14455
Dalias,4066
"Ejido, El",83758
Enix,514
Felix,636
Fines,2104
Fiñana,1984
Fondon,994
Gador,3034
"Gallardos, Los",2902
Garrucha,9520
Gergal,1080
Huecija,486
Huercal de Almeria,17917
Huercal-Overa,19432
illar,405
Instincion,448
Laroya,198
Laujar de Andarax,1527
Lijar,394
Lubrin,1449
Lucainena de las Torres,564
Lucar,760
Macael,5480
Maria,1230
Mojacar,6778
"Mojonera, La",9191
Nacimiento,496
Nijar,31666
Ohanes,558
Olula de Castro,191
Olula del Rio,6256
Oria,2239
Padules,414
Partaloa,1035
